conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,gpt_default,-3868762744116692312,gpt_default_-3868762744116692312,0,0,,0.1104629635810852,20.0
1,gpt_default,3303949904590227517,gpt_default_3303949904590227517,4,0,0.0478111132979393,0.13536379734675089,45.333333333333336
2,gpt_default,2978791715112100450,gpt_default_2978791715112100450,0,0,,0.1762676239013672,22.0
3,gpt_default,8228809181693590028,gpt_default_8228809181693590028,0,0,,0.12193459272384644,38.0
4,gpt_default,-5883582487755581909,gpt_default_-5883582487755581909,9,1,0.06648063659667969,0.08881047036912706,49.111111111111114
5,gpt_default,-7748148764174322859,gpt_default_-7748148764174322859,9,1,0.050582051277160645,0.11083631383048163,57.333333333333336
6,gpt_default,-9120735786299256593,gpt_default_-9120735786299256593,0,0,,0.06334960460662842,51.0
7,gpt_default,6519451917082435996,gpt_default_6519451917082435996,0,0,,0.12835955619812012,46.0
8,gpt_default,7796724402164779449,gpt_default_7796724402164779449,0,0,,0.08027243614196777,59.0
9,gpt_default,-7579322367467478631,gpt_default_-7579322367467478631,0,0,,0.09266054630279541,71.0
10,gpt_default,2735028203675223970,gpt_default_2735028203675223970,0,0,,0.08849996328353882,46.0
11,gpt_default,-8800594601742214742,gpt_default_-8800594601742214742,0,0,,0.06394988298416138,60.0
12,gpt_default,-6148641726913253952,gpt_default_-6148641726913253952,1,0,0.03929215669631958,0.19908990462621054,30.11111111111111
13,gpt_default,7270289390969226437,gpt_default_7270289390969226437,0,0,,0.10807865858078003,30.0
14,gpt_default,-3324111638340831616,gpt_default_-3324111638340831616,0,0,,0.055885493755340576,57.0
15,gpt_default,6426691030127866090,gpt_default_6426691030127866090,9,1,0.05900853872299194,0.1564601394865248,31.11111111111111
16,gpt_default,5892786066623401331,gpt_default_5892786066623401331,9,1,0.07336290180683136,0.16844845480389065,46.888888888888886
17,gpt_default,-5463727270396169906,gpt_default_-5463727270396169906,9,1,0.04472404718399048,0.1273950007226732,35.55555555555556
18,gpt_default,3534595325443628912,gpt_default_3534595325443628912,9,1,0.07249483466148376,0.18864955504735312,27.333333333333332
19,gpt_default,-2630813834556949921,gpt_default_-2630813834556949921,9,1,0.043737463653087616,0.08997869491577148,42.0
20,gpt_default,1230088118618836747,gpt_default_1230088118618836747,0,0,,0.08354103565216064,42.0
21,gpt_default,1852916232454158090,gpt_default_1852916232454158090,9,1,0.054919205605983734,0.1832272145483229,35.111111111111114
22,gpt_default,421036011198874655,gpt_default_421036011198874655,9,1,0.027172274887561798,0.06201122866736518,53.55555555555556
