conversation_id,model,prompt0_id,model_prompt0_interaction,round,prompt_to_prompt_drift,context_to_prompt_drift,cumulative_drift,prompt_complexity,confidence,failure,censored
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,0,,0.1104629635810852,0.0,20.0,,1,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,1,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,2,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,3,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,4,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,5,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,6,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,7,,,,,,0,0
0,llama_4_scout,-3868762744116692312,llama_4_scout_-3868762744116692312,8,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,0,,0.09066712856292725,0.0,36.0,,1,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,1,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,2,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,3,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,4,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,5,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,6,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,7,,,,,,0,0
1,llama_4_scout,3303949904590227517,llama_4_scout_3303949904590227517,8,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,0,,0.1762676239013672,0.0,22.0,,1,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,1,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,2,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,3,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,4,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,5,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,6,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,7,,,,,,0,0
2,llama_4_scout,2978791715112100450,llama_4_scout_2978791715112100450,8,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,0,,0.12193459272384644,0.0,38.0,,1,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,1,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,2,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,3,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,4,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,5,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,6,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,7,,,,,,0,0
3,llama_4_scout,8228809181693590028,llama_4_scout_8228809181693590028,8,,,,,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,0,,0.06426328420639038,0.0,39.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,1,0.017105519771575928,0.13051611185073853,0.017105519771575928,42.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,2,0.0343974232673645,0.16658800840377808,0.05150294303894043,55.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,3,0.03479790687561035,0.1285710334777832,0.08630084991455078,49.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,4,0.060373127460479736,0.17830640077590942,0.14667397737503052,49.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,5,0.07524597644805908,0.1236301064491272,0.2219199538230896,48.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,6,0.0918695330619812,0.1864493489265442,0.3137894868850708,51.0,,1,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,7,0.06848549842834473,0.1346954107284546,0.3822749853134155,52.0,,0,0
4,llama_4_scout,-5883582487755581909,llama_4_scout_-5883582487755581909,8,0.07934749126434326,0.16060829162597656,0.4616224765777588,56.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,0,,0.10599368810653687,0.0,48.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,1,0.018949806690216064,0.11806285381317139,0.018949806690216064,51.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,2,0.03266984224319458,0.14895546436309814,0.051619648933410645,64.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,3,0.03258174657821655,0.12272965908050537,0.0842013955116272,58.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,4,0.07491755485534668,0.1549079418182373,0.15911895036697388,58.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,5,0.10240048170089722,0.12474048137664795,0.2615194320678711,57.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,6,0.0672677755355835,0.18631380796432495,0.3287872076034546,56.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,7,0.03590470552444458,0.12317514419555664,0.36469191312789917,59.0,,0,0
5,llama_4_scout,-7748148764174322859,llama_4_scout_-7748148764174322859,8,0.04085654020309448,0.10172969102859497,0.40554845333099365,65.0,,0,1
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,0,,0.06334960460662842,0.0,51.0,,1,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,1,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,2,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,3,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,4,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,5,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,6,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,7,,,,,,0,0
6,llama_4_scout,-9120735786299256593,llama_4_scout_-9120735786299256593,8,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,0,,0.12835955619812012,0.0,46.0,,1,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,1,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,2,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,3,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,4,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,5,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,6,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,7,,,,,,0,0
7,llama_4_scout,6519451917082435996,llama_4_scout_6519451917082435996,8,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,0,,0.08027243614196777,0.0,59.0,,1,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,1,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,2,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,3,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,4,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,5,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,6,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,7,,,,,,0,0
8,llama_4_scout,7796724402164779449,llama_4_scout_7796724402164779449,8,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,0,,0.09266054630279541,0.0,71.0,,1,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,1,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,2,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,3,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,4,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,5,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,6,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,7,,,,,,0,0
9,llama_4_scout,-7579322367467478631,llama_4_scout_-7579322367467478631,8,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,0,,0.08849996328353882,0.0,46.0,,1,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,1,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,2,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,3,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,4,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,5,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,6,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,7,,,,,,0,0
10,llama_4_scout,2735028203675223970,llama_4_scout_2735028203675223970,8,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,0,,0.06394988298416138,0.0,60.0,,1,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,1,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,2,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,3,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,4,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,5,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,6,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,7,,,,,,0,0
11,llama_4_scout,-8800594601742214742,llama_4_scout_-8800594601742214742,8,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,0,,0.1568424105644226,0.0,21.0,,1,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,1,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,2,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,3,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,4,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,5,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,6,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,7,,,,,,0,0
12,llama_4_scout,-6148641726913253952,llama_4_scout_-6148641726913253952,8,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,0,,0.10807865858078003,0.0,30.0,,1,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,1,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,2,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,3,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,4,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,5,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,6,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,7,,,,,,0,0
13,llama_4_scout,7270289390969226437,llama_4_scout_7270289390969226437,8,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,0,,0.055885493755340576,0.0,57.0,,1,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,1,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,2,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,3,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,4,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,5,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,6,,,,,,0,0
14,llama_4_scout,-3324111638340831616,llama_4_scout_-3324111638340831616,7,,,,,,0,0
